,Question Title,Question Slug,Question Text,Topic Tagged text,Difficulty Level,Success Rate,total submission,total accepted,Likes,Dislikes,Hints,Similar Questions ID,Similar Questions Text,Question,Answer,Test Imports,Assert Statement List,Tag
1491,Check If a String Contains All Binary Codes of Size K,check-if-a-string-contains-all-binary-codes-of-size-k,"Given a binary string s and an integer k, return true if every binary code of length k is a substring of s. Otherwise, return false. ","Hash Table,String,Bit Manipulation,Rolling Hash,Hash Function",Medium,54.5,87271.0,47554.0,685.0,66.0,We need only to check all sub-strings of length k. The number of distinct sub-strings should be exactly 2^k.,,,,,,,
1492,Course Schedule IV,course-schedule-iv,"There are a total of numCourses courses you have to take, labeled from 0 to numCourses - 1. You are given an array prerequisites where prerequisites[i] = [ai, bi] indicates that you must take course ai first if you want to take course bi. Prerequisites can also be indirect. If course a is a prerequisite of course b, and course b is a prerequisite of course c, then course a is a prerequisite of course c. You are also given an array queries where queries[j] = [uj, vj]. For the jth query, you should answer whether course uj is a prerequisite of course vj or not. Return a boolean array answer, where answer[j] is the answer to the jth query. ","Depth-First Search,Breadth-First Search,Graph,Topological Sort",Medium,47.8,64004.0,30620.0,774.0,46.0,Imagine if the courses are nodes of a graph. We need to build an array isReachable[i][j]. Start a bfs from each course i and assign for each course j you visit isReachable[i][j] = True. Answer the queries from the isReachable array.,,,,,,,
1493,Cherry Pickup II,cherry-pickup-ii,"You are given a rows x cols matrix grid representing a field of cherries where grid[i][j] represents the number of cherries that you can collect from the (i, j) cell. You have two robots that can collect cherries for you: Return the maximum number of cherries collection using both robots by following the rules below: ","Array,Dynamic Programming,Matrix",Hard,70.7,81661.0,57761.0,1919.0,20.0,"Use dynammic programming, define DP[i][j][k]: The maximum cherries that both robots can take  starting on the ith row, and column j and k of Robot 1 and 2 respectively.",,,,,,,
1494,Number of Students Doing Homework at a Given Time,number-of-students-doing-homework-at-a-given-time,"Given two integer arrays startTime and endTime and given an integer queryTime. The ith student started doing their homework at the time startTime[i] and finished it at time endTime[i]. Return the number of students doing their homework at time queryTime. More formally, return the number of students where queryTime lays in the interval [startTime[i], endTime[i]] inclusive. ",Array,Easy,76.4,108069.0,82597.0,564.0,128.0,"Imagine that startTime[i] and endTime[i] form an interval (i.e. [startTime[i], endTime[i]]). The answer is how many times the queryTime laid in those mentioned intervals.",,,,,,,
1495,Rearrange Words in a Sentence,rearrange-words-in-a-sentence,"Given a sentence text (A sentence is a string of space-separated words) in the following format: Your task is to rearrange the words in text such that all words are rearranged in an increasing order of their lengths. If two words have the same length, arrange them in their original order. Return the new text following the format shown above. ","String,Sorting",Medium,61.9,59852.0,37070.0,473.0,63.0,"Store each word and their relative position. Then, sort them by length of words in case of tie by their original order.",,,,,,,
1496,People Whose List of Favorite Companies Is Not a Subset of Another List,people-whose-list-of-favorite-companies-is-not-a-subset-of-another-list,Given the array favoriteCompanies where favoriteCompanies[i] is the list of favorites companies for the ith person (indexed from 0). Return the indices of people whose list of favorite companies is not a subset of any other list of favorites companies. You must return the indices in increasing order. ,"Array,Hash Table,String",Medium,56.6,32870.0,18590.0,247.0,193.0,"Use hashing to convert company names in numbers and then for each list check if this is a subset of any other list. In order to check if a list is a subset of another list, use two pointers technique to get a linear solution for this task. The total complexity will be O(n^2 * m) where n is the number of lists and m is the maximum number of elements in a list.",,,,,,,
1497,Maximum Number of Darts Inside of a Circular Dartboard,maximum-number-of-darts-inside-of-a-circular-dartboard,"Alice is throwing n darts on a very large wall. You are given an array darts where darts[i] = [xi, yi] is the position of the ith dart that Alice threw on the wall. Bob knows the positions of the n darts on the wall. He wants to place a dartboard of radius r on the wall so that the maximum number of darts that Alice throws lies on the dartboard. Given the integer r, return the maximum number of darts that can lie on the dartboard. ","Array,Math,Geometry",Hard,36.4,12490.0,4546.0,108.0,240.0,"If there is an optimal solution, you can always move the circle so that two points lie on the boundary of the circle. When the radius is fixed, you can find either 0 or 1 or 2 circles that pass two given points at the same time. Loop for each pair of points and find the center of the circle, after that count the number of points inside the circle.",,,,,,,
1498,Create a Session Bar Chart,create-a-session-bar-chart,,Database,Easy,78.4,20033.0,15697.0,110.0,192.0,,2057,Count Salary Categories,,,,,
1499,Evaluate Boolean Expression,evaluate-boolean-expression,,Database,Medium,75.5,16091.0,12155.0,114.0,6.0,,,,,,,,
1500,Check If a Word Occurs As a Prefix of Any Word in a Sentence,check-if-a-word-occurs-as-a-prefix-of-any-word-in-a-sentence,"Given a sentence that consists of some words separated by a single space, and a searchWord, check if searchWord is a prefix of any word in sentence. Return the index of the word in sentence (1-indexed) where searchWord is a prefix of this word. If searchWord is a prefix of more than one word, return the index of the first word (minimum index). If there is no such word return -1. A prefix of a string s is any leading contiguous substring of s. ","String,String Matching",Easy,64.5,75561.0,48740.0,495.0,23.0,"First extract the words of the sentence. Check for each word if searchWord occurs at index 0, if so return the index of this word (1-indexed) If searchWord doesn't exist as a prefix of any word return the default value (-1).",2292,Counting Words With a Given Prefix,,,,,
1501,Maximum Number of Vowels in a Substring of Given Length,maximum-number-of-vowels-in-a-substring-of-given-length,"Given a string s and an integer k, return the maximum number of vowel letters in any substring of s with length k. Vowel letters in English are 'a', 'e', 'i', 'o', and 'u'. ","String,Sliding Window",Medium,57.4,73875.0,42389.0,691.0,37.0,Keep a window of size k and maintain the number of vowels in it. Keep moving the window and update the number of vowels while moving. Answer is max number of vowels of any window.,,,,,,,
1502,Pseudo-Palindromic Paths in a Binary Tree,pseudo-palindromic-paths-in-a-binary-tree,Given a binary tree where node values are digits from 1 to 9. A path in the binary tree is said to be pseudo-palindromic if at least one permutation of the node values in the path is a palindrome. Return the number of pseudo-palindromic paths going from the root node to leaf nodes. ,"Bit Manipulation,Tree,Depth-First Search,Breadth-First Search,Binary Tree",Medium,67.3,75439.0,50739.0,961.0,34.0,Note that the node values of a path form a palindrome if at most one digit has an odd frequency (parity). Use a Depth First Search (DFS) keeping the frequency (parity) of the digits. Once you are in a leaf node check if at most one digit has an odd frequency (parity).,,,,,,,
1503,Max Dot Product of Two Subsequences,max-dot-product-of-two-subsequences,"Given two arrays nums1 and nums2. Return the maximum dot product between non-empty subsequences of nums1 and nums2 with the same length. A subsequence of a array is a new array which is formed from the original array by deleting some (can be none) of the characters without disturbing the relative positions of the remaining characters. (ie, [2,3,5] is a subsequence of [1,2,3,4,5] while [1,5,3] is not). ","Array,Dynamic Programming",Hard,45.2,36088.0,16301.0,573.0,11.0,"Use dynamic programming, define DP[i][j] as the maximum dot product of two subsequences starting in the position i of nums1 and position j of nums2.",,,,,,,
1504,Final Prices With a Special Discount in a Shop,final-prices-with-a-special-discount-in-a-shop,"Given the array prices where prices[i] is the price of the ith item in a shop. There is a special discount for items in the shop, if you buy the ith item, then you will receive a discount equivalent to prices[j] where j is the minimum index such that j > i and prices[j] <= prices[i], otherwise, you will not receive any discount at all. Return an array where the ith element is the final price you will pay for the ith item of the shop considering the special discount. ","Array,Stack,Monotonic Stack",Easy,75.2,98680.0,74225.0,1022.0,65.0,"Use brute force: For the ith item in the shop with a loop find the first position j satisfying the conditions and apply the discount, otherwise, the discount is 0.",,,,,,,
1505,Allocate Mailboxes,allocate-mailboxes,"Given the array houses where houses[i] is the location of the ith house along a street and an integer k, allocate k mailboxes in the street. Return the minimum total distance between each house and its nearest mailbox. The test cases are generated so that the answer fits in a 32-bit integer. ","Array,Math,Dynamic Programming,Sorting",Hard,55.4,27496.0,15237.0,698.0,12.0,"If k =1, the minimum distance is obtained allocating the mailbox in the median of the array houses. Generalize this idea, using dynamic programming allocating k mailboxes.",,,,,,,
1506,Subrectangle Queries,subrectangle-queries,"Implement the class SubrectangleQueries which receives a rows x cols rectangle as a matrix of integers in the constructor and supports two methods: 1. updateSubrectangle(int row1, int col1, int row2, int col2, int newValue) 2. getValue(int row, int col) ","Array,Design,Matrix",Medium,88.2,78203.0,68980.0,366.0,972.0,"Use brute force to update a rectangle and, response to the queries in O(1).",,,,,,,
1507,Find Two Non-overlapping Sub-arrays Each With Target Sum,find-two-non-overlapping-sub-arrays-each-with-target-sum,"You are given an array of integers arr and an integer target. You have to find two non-overlapping sub-arrays of arr each with a sum equal target. There can be multiple answers so you have to find an answer where the sum of the lengths of the two sub-arrays is minimum. Return the minimum sum of the lengths of the two required sub-arrays, or return -1 if you cannot find such two sub-arrays. ","Array,Hash Table,Binary Search,Dynamic Programming,Sliding Window",Medium,36.7,98780.0,36246.0,1198.0,59.0,"Let's create two arrays prefix and suffix where prefix[i] is the minimum length of sub-array ends before i and has sum = k, suffix[i] is the minimum length of sub-array starting at or after i and has sum = k. The answer we are searching for is min(prefix[i] + suffix[i]) for all values of i from 0 to n-1 where n == arr.length. If you are still stuck with how to build prefix and suffix, you can store for each index i the length of the sub-array starts at i and has sum = k or infinity otherwise, and you can use it to build both prefix and suffix.",,,,,,,
1508,Maximum Product of Two Elements in an Array,maximum-product-of-two-elements-in-an-array,,"Array,Sorting,Heap (Priority Queue)",Easy,78.4,162935.0,127729.0,904.0,157.0,"Use brute force: two loops to select i and j, then select the maximum value of (nums[i]-1)*(nums[j]-1).",,,,,,,
1509,Maximum Area of a Piece of Cake After Horizontal and Vertical Cuts,maximum-area-of-a-piece-of-cake-after-horizontal-and-vertical-cuts,"You are given a rectangular cake of size h x w and two arrays of integers horizontalCuts and verticalCuts where: Return the maximum area of a piece of cake after you cut at each horizontal and vertical position provided in the arrays horizontalCuts and verticalCuts. Since the answer can be a large number, return this modulo 109 + 7. ","Array,Greedy,Sorting",Medium,37.1,244971.0,90947.0,1036.0,232.0,"Sort the arrays, then compute the maximum difference between two consecutive elements for horizontal cuts and vertical cuts. The answer is the product of these maximum values in horizontal cuts and vertical cuts.",,,,,,,
1510,Reorder Routes to Make All Paths Lead to the City Zero,reorder-routes-to-make-all-paths-lead-to-the-city-zero,"There are n cities numbered from 0 to n - 1 and n - 1 roads such that there is only one way to travel between two different cities (this network form a tree). Last year, The ministry of transport decided to orient the roads in one direction because they are too narrow. Roads are represented by connections where connections[i] = [ai, bi] represents a road from city ai to city bi. This year, there will be a big event in the capital (city 0), and many people want to travel to this city. Your task consists of reorienting some roads such that each city can visit the city 0. Return the minimum number of edges changed. It's guaranteed that each city can reach city 0 after reorder. ","Depth-First Search,Breadth-First Search,Graph",Medium,61.0,84269.0,51446.0,1425.0,36.0,"Treat the graph as undirected. Start a dfs from the root, if you come across an edge in the forward direction, you need to reverse the edge.",,,,,,,
1511,Probability of a Two Boxes Having The Same Number of Distinct Balls,probability-of-a-two-boxes-having-the-same-number-of-distinct-balls,"Given 2n balls of k distinct colors. You will be given an integer array balls of size k where balls[i] is the number of balls of color i. All the balls will be shuffled uniformly at random, then we will distribute the first n balls to the first box and the remaining n balls to the other box (Please read the explanation of the second example carefully). Please note that the two boxes are considered different. For example, if we have two balls of colors a and b, and two boxes [] and (), then the distribution [a] (b) is considered different than the distribution [b] (a) (Please read the explanation of the first example carefully). Return the probability that the two boxes have the same number of distinct balls. Answers within 10-5 of the actual value will be accepted as correct. ","Math,Dynamic Programming,Backtracking,Combinatorics,Probability and Statistics",Hard,60.9,9746.0,5937.0,193.0,142.0,"Check how many ways you can distribute the balls between the boxes. Consider that one way you will use (x1, x2, x3, ..., xk) where xi is the number of balls from colour i. The probability of achieving this way randomly is ( (ball1 C x1) * (ball2 C x2) * (ball3 C x3) * ... * (ballk C xk)) / (2n C n). The probability of a draw is the sigma of probabilities of different ways to achieve draw. Can you use Dynamic programming to solve this problem in a better complexity ?",,,,,,,
1512,Apples & Oranges,apples-oranges,,Database,Medium,91.5,27701.0,25359.0,132.0,17.0,,,,,,,,
1513,Active Users,active-users,,Database,Medium,38.4,58338.0,22396.0,277.0,27.0,,,,,,,,
1514,Shuffle the Array,shuffle-the-array,"Given the array nums consisting of 2n elements in the form [x1,x2,...,xn,y1,y2,...,yn]. Return the array in the form [x1,y1,x2,y2,...,xn,yn]. ",Array,Easy,88.3,348393.0,307691.0,2264.0,170.0,Use two pointers to create the new array of 2n elements. The first starting at the beginning and the other starting at (n+1)th position. Alternate between them and create the new array.,,,,,,,
1515,The k Strongest Values in an Array,the-k-strongest-values-in-an-array,"Given an array of integers arr and an integer k. A value arr[i] is said to be stronger than a value arr[j] if |arr[i] - m| > |arr[j] - m| where m is the median of the array.
If |arr[i] - m| == |arr[j] - m|, then arr[i] is said to be stronger than arr[j] if arr[i] > arr[j]. Return a list of the strongest k values in the array. return the answer in any arbitrary order. Median is the middle value in an ordered integer list. More formally, if the length of the list is n, the median is the element in position ((n - 1) / 2) in the sorted list (0-indexed). ","Array,Two Pointers,Sorting",Medium,59.7,45468.0,27166.0,399.0,94.0,"Calculate the median of the array as defined in the statement. Use custom sort function to sort values (Strongest first), then slice the first k.",,,,,,,
1516,Design Browser History,design-browser-history,"You have a browser of one tab where you start on the homepage and you can visit another url, get back in the history number of steps or move forward in the history number of steps. Implement the BrowserHistory class:  Example:  Constraints:","Array,Linked List,Stack,Design,Doubly-Linked List,Data Stream",Medium,74.9,98138.0,73497.0,1241.0,102.0,Use two stack one for back history and one for forward history and simulate the functions. Can you do faster by using different data structure ?,,,,,,,
1517,Paint House III,paint-house-iii,"There is a row of m houses in a small city, each house must be painted with one of the n colors (labeled from 1 to n), some houses that have been painted last summer should not be painted again. A neighborhood is a maximal group of continuous houses that are painted with the same color. Given an array houses, an m x n matrix cost and an integer target where: Return the minimum cost of painting all the remaining houses in such a way that there are exactly target neighborhoods. If it is not possible, return -1. ","Array,Dynamic Programming",Hard,50.8,30495.0,15483.0,561.0,29.0,Use Dynamic programming. Define dp[i][j][k] as the minimum cost where we have k neighborhoods in the first i houses and the i-th house is painted with the color j.,,,,,,,
1518,Average Salary Excluding the Minimum and Maximum Salary,average-salary-excluding-the-minimum-and-maximum-salary,You are given an array of unique integers salary where salary[i] is the salary of the ith employee. Return the average salary of employees excluding the minimum and maximum salary. Answers within 10-5 of the actual answer will be accepted. ,"Array,Sorting",Easy,65.1,141589.0,92237.0,624.0,87.0,Get the total sum and subtract the minimum and maximum value in the array.  Finally divide the result by n - 2.,,,,,,,
1519,The kth Factor of n,the-kth-factor-of-n,"You are given two positive integers n and k. A factor of an integer n is defined as an integer i where n % i == 0. Consider a list of all factors of n sorted in ascending order, return the kth factor in this list or return -1 if n has less than k factors. ",Math,Medium,62.1,140760.0,87388.0,704.0,205.0,"The factors of n will be always in the range [1, n]. Keep a list of all factors sorted.  Loop i from 1 to n and add i if n % i == 0. Return the kth factor if it exist in this list.",,,,,,,
1520,Longest Subarray of 1's After Deleting One Element,longest-subarray-of-1s-after-deleting-one-element,"Given a binary array nums, you should delete one element from it. Return the size of the longest non-empty subarray containing only 1's in the resulting array. Return 0 if there is no such subarray. ","Math,Dynamic Programming,Sliding Window",Medium,60.1,65170.0,39141.0,869.0,21.0,Maintain a sliding window where there is at most one zero on it.,,,,,,,
1521,Parallel Courses II,parallel-courses-ii,"You are given an integer n, which indicates that there are n courses labeled from 1 to n. You are also given an array relations where relations[i] = [prevCoursei, nextCoursei], representing a prerequisite relationship between course prevCoursei and course nextCoursei: course prevCoursei has to be taken before course nextCoursei. Also, you are given the integer k. In one semester, you can take at most k courses as long as you have taken all the prerequisites in the previous semester for the courses you are taking. Return the minimum number of semesters needed to take all courses. The testcases will be generated such that it is possible to take every course. ","Dynamic Programming,Bit Manipulation,Graph,Bitmask",Hard,31.8,33574.0,10661.0,589.0,49.0,"Use backtracking with states (bitmask, degrees) where bitmask represents the set of courses, if the ith bit is 1 then the ith course was taken, otherwise, you can take the ith course. Degrees represent the degree for each course (nodes in the graph). Note that you can only take nodes (courses) with degree = 0 and it is optimal at every step in the backtracking take the maximum number of courses limited by k.",1101,Parallel Courses,,,,,
1522,Running Sum of 1d Array,running-sum-of-1d-array,Given an array nums. We define a running sum of an array as runningSum[i] = sum(nums[0]…nums[i]). Return the running sum of nums. ,"Array,Prefix Sum",Easy,89.6,566858.0,507777.0,2513.0,177.0,Think about how we can calculate the i-th number in the running sum from the (i-1)-th number.,,,,,,,
1523,Least Number of Unique Integers after K Removals,least-number-of-unique-integers-after-k-removals,Given an array of integers arr and an integer k. Find the least number of unique integers after removing exactly k elements. ,"Array,Hash Table,Greedy,Sorting,Counting",Medium,60.2,114592.0,68982.0,868.0,64.0,Use a map to count the frequencies of the numbers in the array. An optimal strategy is to remove the numbers with the smallest count first.,,,,,,,
1524,Minimum Number of Days to Make m Bouquets,minimum-number-of-days-to-make-m-bouquets,"You are given an integer array bloomDay, an integer m and an integer k. You want to make m bouquets. To make a bouquet, you need to use k adjacent flowers from the garden. The garden consists of n flowers, the ith flower will bloom in the bloomDay[i] and then can be used in exactly one bouquet. Return the minimum number of days you need to wait to be able to make m bouquets from the garden. If it is impossible to make m bouquets return -1. ","Array,Binary Search",Medium,55.5,65353.0,36272.0,1568.0,40.0,"If we can make m or more bouquets at day x, then we can still make m or more bouquets at any day y > x. We can check easily if we can make enough bouquets at day x if we can get group adjacent flowers at day x.","2134,2257","Maximize the Confusion of an Exam,Earliest Possible Day of Full Bloom",,,,,
1525,Rectangles Area,rectangles-area,,Database,Medium,68.4,12934.0,8844.0,49.0,91.0,,,,,,,,
1526,Calculate Salaries,calculate-salaries,,Database,Medium,82.3,18355.0,15114.0,82.0,16.0,,,,,,,,
1527,Find All The Lonely Nodes,find-all-the-lonely-nodes,,"Tree,Depth-First Search,Breadth-First Search,Binary Tree",Easy,81.6,40732.0,33242.0,366.0,9.0,"Do a simple tree traversal, try to check if the current node is lonely or not. Node is lonely if at least one of the left/right pointers is null.","563,1005","Binary Tree Tilt,Univalued Binary Tree",,,,,
1528,XOR Operation in an Array,xor-operation-in-an-array,You are given an integer n and an integer start. Define an array nums where nums[i] = start + 2 * i (0-indexed) and n == nums.length. Return the bitwise XOR of all elements of nums. ,"Math,Bit Manipulation",Easy,84.2,141261.0,118966.0,796.0,281.0,"Simulate the process, create an array nums and return the Bitwise XOR of all elements of it.",,,,,,,
1529,Making File Names Unique,making-file-names-unique,"Given an array of strings names of size n. You will create n folders in your file system such that, at the ith minute, you will create a folder with the name names[i]. Since two files cannot have the same name, if you enter a folder name that was previously used, the system will have a suffix addition to its name in the form of (k), where, k is the smallest positive integer such that the obtained name remains unique. Return an array of strings of length n where ans[i] is the actual name the system will assign to the ith folder when you create it. ","Array,Hash Table,String",Medium,34.8,65871.0,22938.0,321.0,507.0,"Keep a map of each name and the smallest valid integer that can be appended as a suffix to it. If the name is not present in the map, you can use it without adding any suffixes. If the name is present in the map, append the smallest proper suffix, and add the new name to the map.",,,,,,,
1530,Avoid Flood in The City,avoid-flood-in-the-city,"Your country has an infinite number of lakes. Initially, all the lakes are empty, but when it rains over the nth lake, the nth lake becomes full of water. If it rains over a lake that is full of water, there will be a flood. Your goal is to avoid floods in any lake. Given an integer array rains where: Return an array ans where: If there are multiple valid answers return any of them. If it is impossible to avoid flood return an empty array. Notice that if you chose to dry a full lake, it becomes empty, but if you chose to dry an empty lake, nothing changes. ","Array,Hash Table,Binary Search,Greedy,Heap (Priority Queue)",Medium,25.3,90654.0,22947.0,976.0,195.0,"Keep An array of the last day there was rains over each city. Keep an array of the days you can dry a lake when you face one. When it rains over a lake, check the first possible day you can dry this lake and assign this day to this lake.",,,,,,,
1531,Find Critical and Pseudo-Critical Edges in Minimum Spanning Tree,find-critical-and-pseudo-critical-edges-in-minimum-spanning-tree,"Given a weighted undirected connected graph with n vertices numbered from 0 to n - 1, and an array edges where edges[i] = [ai, bi, weighti] represents a bidirectional and weighted edge between nodes ai and bi. A minimum spanning tree (MST) is a subset of the graph's edges that connects all vertices without cycles and with the minimum possible total edge weight. Find all the critical and pseudo-critical edges in the given graph's minimum spanning tree (MST). An MST edge whose deletion from the graph would cause the MST weight to increase is called a critical edge. On the other hand, a pseudo-critical edge is that which can appear in some MSTs but not all. Note that you can return the indices of the edges in any order. ","Union Find,Graph,Sorting,Minimum Spanning Tree,Strongly Connected Component",Hard,52.9,14287.0,7559.0,442.0,43.0,"Use the Kruskal algorithm to find the minimum spanning tree by sorting the edges and picking edges from ones with smaller weights. Use a disjoint set to avoid adding redundant edges that result in a cycle. To find if one edge is critical, delete that edge and re-run the MST algorithm and see if the weight of the new MST increases. To find if one edge is non-critical (in any MST), include that edge to the accepted edge list and continue the MST algorithm, then see if the resulting MST has the same weight of the initial MST of the entire graph.",,,,,,,
1532,Range Sum of Sorted Subarray Sums,range-sum-of-sorted-subarray-sums,"You are given the array nums consisting of n positive integers. You computed the sum of all non-empty continuous subarrays from the array and then sorted them in non-decreasing order, creating a new array of n * (n + 1) / 2 numbers. Return the sum of the numbers from index left to index right (indexed from 1), inclusive, in the new array. Since the answer can be a huge number return it modulo 109 + 7. ","Array,Two Pointers,Binary Search,Sorting",Medium,59.1,41099.0,24279.0,560.0,102.0,Compute all sums and save it in array. Then just go from LEFT to RIGHT index and calculate answer modulo 1e9 + 7.,,,,,,,
1533,Minimum Difference Between Largest and Smallest Value in Three Moves,minimum-difference-between-largest-and-smallest-value-in-three-moves,"You are given an integer array nums. In one move, you can choose one element of nums and change it by any value. Return the minimum difference between the largest and smallest value of nums after performing at most three moves. ","Array,Greedy,Sorting",Medium,55.5,109003.0,60540.0,1058.0,147.0,The minimum difference possible is is obtained by removing 3 elements between the 3 smallest  and 3 largest values in the array.,,,,,,,
1534,Stone Game IV,stone-game-iv,"Alice and Bob take turns playing a game, with Alice starting first. Initially, there are n stones in a pile. On each player's turn, that player makes a move consisting of removing any non-zero square number of stones in the pile. Also, if a player cannot make a move, he/she loses the game. Given a positive integer n, return true if and only if Alice wins the game otherwise return false, assuming both players play optimally. ","Math,Dynamic Programming,Game Theory",Hard,60.8,95502.0,58083.0,1247.0,53.0,"Use dynamic programming to keep track of winning and losing states. Given some number of stones, Alice can win if she can force Bob onto a losing state.","1685,1788,1808,2002,2156","Stone Game V,Stone Game VI,Stone Game VII,Stone Game VIII,Stone Game IX",,,,,
1535,Delete N Nodes After M Nodes of a Linked List,delete-n-nodes-after-m-nodes-of-a-linked-list,,Linked List,Easy,73.5,26553.0,19520.0,284.0,8.0,"Traverse the Linked List, each time you need to delete the next n nodes connect the nodes previous deleting with the next node after deleting.","19,1267","Remove Nth Node From End of List,Remove Zero Sum Consecutive Nodes from Linked List",,,,,
1536,Path Crossing,path-crossing,"Given a string path, where path[i] = 'N', 'S', 'E' or 'W', each representing moving one unit north, south, east, or west, respectively. You start at the origin (0, 0) on a 2D plane and walk on the path specified by path. Return true if the path crosses itself at any point, that is, if at any time you are on a location you have previously visited. Return false otherwise. ","Hash Table,String",Easy,55.7,62878.0,35053.0,473.0,8.0,Simulate the process while keeping track of visited points. Use a set to store previously visited points.,,,,,,,
1537,Check If Array Pairs Are Divisible by k,check-if-array-pairs-are-divisible-by-k,Given an array of integers arr of even length n and an integer k. We want to divide the array into exactly n / 2 pairs such that the sum of each pair is divisible by k. Return true If you can find a way to do that or false otherwise. ,"Array,Hash Table,Counting",Medium,40.5,75098.0,30395.0,933.0,56.0,"Keep an array of the frequencies of ((x % k) + k) % k for each x in arr. for each i in [0, k - 1] we need to check if freq[k] == freq[k - i] Take care of the case when i == k - i and when i == 0",2301,Count Array Pairs Divisible by K,,,,,
1538,Number of Subsequences That Satisfy the Given Sum Condition,number-of-subsequences-that-satisfy-the-given-sum-condition,"You are given an array of integers nums and an integer target. Return the number of non-empty subsequences of nums such that the sum of the minimum and maximum element on it is less or equal to target. Since the answer may be too large, return it modulo 109 + 7. ","Array,Two Pointers,Binary Search,Sorting",Medium,39.1,71143.0,27790.0,1105.0,104.0,Sort the array nums. Use two pointers approach: Given an index i (choose it as the minimum in a subsequence) find the maximum j where j ≥ i and nums[i] +nums[j] ≤ target. Count the number of subsequences.,,,,,,,
1539,Max Value of Equation,max-value-of-equation,"You are given an array points containing the coordinates of points on a 2D plane, sorted by the x-values, where points[i] = [xi, yi] such that xi < xj for all 1 <= i < j <= points.length. You are also given an integer k. Return the maximum value of the equation yi + yj + |xi - xj| where |xi - xj| <= k and 1 <= i < j <= points.length. It is guaranteed that there exists at least one pair of points that satisfy the constraint |xi - xj| <= k. ","Array,Queue,Sliding Window,Heap (Priority Queue),Monotonic Queue",Hard,46.9,63274.0,29650.0,782.0,29.0,"Use a priority queue to store for each point i, the tuple [yi-xi, xi] Loop through the array and pop elements from the heap if the condition xj - xi > k, where j is the current index and i is the point on top the queue. After popping elements from the queue. If the queue is not empty, calculate the equation with the current point and the point on top of the queue and maximize the answer.",2036,Count Pairs in Two Arrays,,,,,
1540,Sales by Day of the Week,sales-by-day-of-the-week,,Database,Hard,82.4,15093.0,12436.0,98.0,33.0,,,,,,,,
1541,Clone Binary Tree With Random Pointer,clone-binary-tree-with-random-pointer,,"Hash Table,Tree,Depth-First Search,Breadth-First Search,Binary Tree",Medium,79.8,20349.0,16248.0,280.0,43.0,"Traverse the tree, keep a hashtable with you and create a nodecopy for each node in the tree. Start traversing the original tree again and connect the left, right and random pointers in the cloned tree the same way as the original tree with the help of the hashtable.","133,138,1634","Clone Graph,Copy List with Random Pointer,Clone N-ary Tree",,,,,
1542,Group Sold Products By The Date,group-sold-products-by-the-date,Table Activities:  Write an SQL query to find for each date the number of different products sold and their names. The sold products names for each date should be sorted lexicographically. Return the result table ordered by sell_date. The query result format is in the following example. ,Database,Easy,85.0,27154.0,23077.0,244.0,17.0,,2335,Finding the Topic of Each Post,,,,,
1543,Can Make Arithmetic Progression From Sequence,can-make-arithmetic-progression-from-sequence,"A sequence of numbers is called an arithmetic progression if the difference between any two consecutive elements is the same. Given an array of numbers arr, return true if the array can be rearranged to form an arithmetic progression. Otherwise, return false. ","Array,Sorting",Easy,69.8,111412.0,77739.0,650.0,44.0,"Consider that any valid arithmetic progression will be in sorted order. Sort the array, then check if the differences of all consecutive elements are equal.",1752,Arithmetic Subarrays,,,,,
1544,Last Moment Before All Ants Fall Out of a Plank,last-moment-before-all-ants-fall-out-of-a-plank,"We have a wooden plank of the length n units. Some ants are walking on the plank, each ant moves with a speed of 1 unit per second. Some of the ants move to the left, the other move to the right. When two ants moving in two different directions meet at some point, they change their directions and continue moving again. Assume changing directions does not take any additional time. When an ant reaches one end of the plank at a time t, it falls out of the plank immediately. Given an integer n and two integer arrays left and right, the positions of the ants moving to the left and the right, return the moment when the last ant(s) fall out of the plank. ","Array,Brainteaser,Simulation",Medium,54.8,27754.0,15220.0,335.0,180.0,The ants change their way when they meet is equivalent to continue moving without changing their direction. Answer is the max distance for one ant to reach the end of the plank in the facing direction.,2317,Count Collisions on a Road,,,,,
1545,Count Submatrices With All Ones,count-submatrices-with-all-ones,"Given an m x n binary matrix mat, return the number of submatrices that have all ones. ","Array,Dynamic Programming,Stack,Matrix,Monotonic Stack",Medium,58.6,59639.0,34967.0,1499.0,116.0,"For each row i, create an array nums where:  if mat[i][j] == 0 then nums[j] = 0 else nums[j] = nums[j-1] +1. In the row i, number of rectangles between column j and k(inclusive) and ends in row i, is equal to SUM(min(nums[j, .. idx])) where idx go from j to k.  Expected solution is O(n^3).",,,,,,,
1546,Minimum Possible Integer After at Most K Adjacent Swaps On Digits,minimum-possible-integer-after-at-most-k-adjacent-swaps-on-digits,You are given a string num representing the digits of a very large integer and an integer k. You are allowed to swap any two adjacent digits of the integer at most k times. Return the minimum integer you can obtain also as a string. ,"String,Greedy,Binary Indexed Tree,Segment Tree",Hard,37.7,19494.0,7347.0,310.0,20.0,"We want to make the smaller digits the most significant digits in the number. For each index i, check the smallest digit in a window of size k and append it to the answer. Update the indices of all digits in this range accordingly.",,,,,,,
